stamp,person_id,c_h,c_r,M,pos_x,pos_y,pos_z,roll,pitch,yaw,is_target,bbox_u,bbox_v,bbox_w,bbox_h
1777790427.384245,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.384245,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.384245,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.384245,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.550911,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.550911,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.550911,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.550911,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.550911,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.550911,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.650889,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.650889,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.650889,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.750897,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.750897,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.750897,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790427.850899,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790427.850899,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790427.850899,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.017576,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.017576,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.017576,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.117567,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.117567,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.117567,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.117567,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.117567,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.117567,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.117567,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.117567,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.117567,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.350904,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.350904,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.350904,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.350904,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.350904,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.350904,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.350904,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.350904,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.350904,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.617568,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.617568,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.617568,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.617568,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.617568,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.617568,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.617568,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.617568,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.617568,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.784247,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.784247,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.784247,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790428.784247,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790428.784247,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790428.784247,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.050912,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.050912,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.050912,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.117576,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.117576,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.117576,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.217554,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.217554,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.217554,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.317608,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.317608,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.317608,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.317608,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.317608,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.317608,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.484232,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.484232,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.484232,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.484232,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.484232,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.484232,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.584250,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.584250,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.584250,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.750903,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.750903,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.750903,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.850903,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.850903,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.850903,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.850903,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.850903,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.850903,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790429.950906,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790429.950906,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790429.950906,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.050946,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.050946,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.050946,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.217556,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.217556,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.217556,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.217556,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.217556,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.217556,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.317594,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.317594,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.317594,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.484228,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.484228,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.484228,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.584231,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.584231,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.584231,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.584231,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.584231,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.584231,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.684235,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.684235,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.684235,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.850902,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.850902,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.850902,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.850902,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.850902,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.850902,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790430.850902,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790430.850902,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790430.850902,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.050905,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.050905,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.050905,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.150892,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.150892,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.150892,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.217561,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.217561,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.217561,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.417565,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.417565,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.417565,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.417565,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.417565,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.417565,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.417565,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.417565,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.417565,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.584227,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.584227,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.584227,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.584227,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.584227,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.584227,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.850887,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.850887,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.850887,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.950886,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.950886,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.950886,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790431.950886,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790431.950886,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
1777790431.950886,2,0.825634,0.999247,0.825013,0.0417,-0.0224,1.2190,-14.633,57.792,-12.004,0,334,225,77,98
1777790432.017566,0,0.957781,0.921326,0.882428,0.4137,-0.1307,1.0280,-155.477,63.482,-157.741,0,544,163,105,117
1777790432.017566,1,0.557288,0.891941,0.497068,-0.4673,-0.2341,1.0310,-165.796,60.748,-154.425,1,56,106,97,99
